title,summary,alternative_names
Cystitis - acute,Acute cystitis is an infection of the bladder or lower urinary tract. Acute means that the infection begins suddenly.,Uncomplicated urinary tract infection; UTI - acute cystitis; Acute bladder infection; Acute bacterial cystitis
Cystitis - noninfectious,"Cystitis is a problem in which pain, pressure, or burning in the bladder is present. Most often, this problem is caused by germs such as bacteria. Cystitis is called noninfectious when there is no infection.",Abacterial cystitis; Radiation cystitis; Chemical cystitis; Urethral syndrome - acute; Bladder pain syndrome; Painful bladder disease complex; Dysuria - noninfectious cystitis; Frequent urination - noninfectious cystitis; Painful urination - noninfectious; Interstitial cystitis
Cystometric study,"A cystometric study measures the amount of fluid in the bladder when you first feel the need to urinate, when you are able to sense fullness, and when your bladder is completely full.",CMG; Cystometrogram
Cystoscopy,"Cystoscopy is a surgical procedure. This is done to see the inside of the bladder and urethra using a thin, lighted tube.",Cystourethroscopy; Endoscopy of the bladder
Cytochrome b5 reductase,"Cytochrome b5 reductase is an enzyme in the blood. It controls the amount of iron in your red blood cells, and helps the cells carry the normal amount of oxygen.People who do not have enough of this enzyme may develop a condition called methemoglobinemia.",
Cytologic evaluation,"Cytologic evaluation is the analysis of cells from the body under a microscope. This is done to determine what the cells look like, and how they form and function.The test is usually used to look for cancers and precancerous changes. It may also be used to look for viral infections in cells. The test differs from a biopsy because only cells are examined, not pieces of tissue.The Pap smear is a common cytologic evaluation that looks at cells from the cervix. Some other examples include:Cytology exam of fluid from the membrane around the lungs (pleural fluid)Cytology exam of urineCytology exam of saliva mixed with mucus and other matter that is coughed up (sputum)",
Cytology exam of pleural fluid,A cytology exam of pleural fluid is a laboratory test to detect cancer cells and certain other cells in the fluid from the area that surrounds the lungs. This area is called the pleural space. Cytology means the study of cells.,Pleural fluid cytology; Lung cancer - pleural fluid
Cytology exam of urine,A cytology exam of urine is a test used to detect cancer and other diseases of the urinary tract.,Urine cytology; Bladder cancer - cytology; Urethral cancer - cytology; Renal cancer - cytology
Cytomegalovirus (CMV) infection,Cytomegalovirus (CMV) infection is a disease caused by a type of herpes virus.,CMV mononucleosis; Cytomegalovirus; CMV; Human cytomegalovirus; HCMV
Diskectomy,"Diskectomy is surgery to remove all or part of the cushion that helps support part of your spinal column. These cushions are called disks, and they separate your spinal bones (vertebrae).",Spinal microdiskectomy; Microdecompression; Laminotomy; Disk removal; Spine surgery - diskectomy; Discectomy
Diskitis,Diskitis is swelling (inflammation) and irritation of the space between the bones of the spine (intervertebral disk space).,Disk inflammation
Dislocated shoulder - aftercare,"The shoulder is a ball and socket joint. This means the round top of your arm bone (the ball) fits into the groove in your shoulder blade (the socket).When you have a dislocated shoulder, it means the entire ball is out of the socket.When you have a partly dislocated shoulder, it means only part of the ball is out of the socket. This is called a shoulder subluxation.",Shoulder dislocation - aftercare; Shoulder subluxation - aftercare; Shoulder reduction - aftercare; Glenohumeral joint dislocation
Dislocation,"A dislocation is a disruption of the normal position of the ends of two or more bones where they meet at a joint. A joint is the place where two bones connect, which allows movement.A dislocated joint is a joint where the bones are no longer in their normal positions.",Joint dislocation
Dissect,"Dissect means to cut or separate tissues. Doctors dissect tissue during surgery. Most of the time, this is done to remove a part of the body that is thought to be diseased. Pathologists dissect dead bodies. This is part of doing an autopsy to determine the cause of death.",
Disseminated intravascular coagulation (DIC),Disseminated intravascular coagulation (DIC) is a serious disorder in which the proteins that control blood clotting become overactive.,Consumption coagulopathy; DIC
Disseminated tuberculosis,Disseminated tuberculosis is a mycobacterial infection in which mycobacteria spread from the lungs to other parts of the body through the blood or lymph system.,Miliary tuberculosis; Tuberculosis - disseminated; Extrapulmonary tuberculosis
Distal,"Distal refers to sites located away from a specific area, most often the center of the body. In medicine, it refers to parts of the body further away from the center. For example, the hand is distal to the shoulder. The thumb is distal to the wrist.Distal is the opposite of proximal. Distal refers to distance, while proximal indicates proximity.",
Distal median nerve dysfunction,Distal median nerve dysfunction is a form of peripheral neuropathy that affects the movement of or sensation in the hands.A common type of distal median nerve dysfunction is carpal tunnel syndrome.,Neuropathy - distal median nerve
Distal renal tubular acidosis,"Distal renal tubular acidosis is a disease that occurs when the kidneys do not properly remove acids from the blood into the urine. As a result, too much acid remains in the blood (called acidosis).",Renal tubular acidosis - distal; Renal tubular acidosis type I; Type I RTA; RTA - distal; Classical RTA
Distal splenorenal shunt,A distal splenorenal shunt (DSRS) is a type of surgery done to relieve extra pressure in the portal vein. The portal vein carries blood from your digestive organs to your liver.,DSRS; Distal splenorenal shunt procedure; Renal - splenic venous shunt; Warren shunt; Cirrhosis - distal splenorenal; Liver failure - distal splenorenal; Portal vein pressure - distal splenorenal shunt
Distracted driving,"Distracted driving is doing any activity that takes your attention away from driving. This includes using a cell phone to call or text while driving. Distracted driving makes you more likely to get into a crash.As a result, many states have enacted laws to help stop the practice. You can avoid distracted driving by learning how to stay safe with a cell phone in the car.",Safety - distracted driving
Diverticulitis,"Diverticula are small, bulging sacs or pouches that form on the inner wall of the intestine. Diverticulitis occurs when these pouches become inflamed or infected. Most often, these pouches are in the lower part of the large intestine (colon).",
Diverticulitis - what to ask your doctor,"Diverticulitis is inflammation of small pouches (diverticula) that can form in the walls of your large intestine. This leads to fever and pain in your belly, most often the lower left part.Below are some questions you may want to ask your health care provider about diverticulitis.",What to ask your doctor about diverticulitis
Diverticulitis and diverticulosis - discharge,You were in the hospital to treat diverticulitis. This is an infection of an abnormal pouch (called a diverticulum) in your intestinal wall (most commonly in the sigmoid colon). This article tells you how to take care of yourself when you leave the hospital.,Diverticular disease - discharge
Diverticulosis,"Diverticulosis occurs when small, bulging sacs or pouches form on the inner wall of the intestine. These sacs are called diverticula. Most often, these pouches form in the large intestine (colon). They may also occur in the jejunum in the small intestine, although this is less common.",Diverticula - diverticulosis; Diverticular disease - diverticulosis; G.I. bleed - diverticulosis; Gastrointestinal hemorrhage - diverticulosis; Gastrointestinal bleed - diverticulosis; Jejunal diverticulosis
Dizziness,"Dizziness is a term that is often used to describe 2 different symptoms: lightheadedness and vertigo.Lightheadedness is a feeling that you might faint.Vertigo is a feeling that you are spinning or moving, or that the world is spinning around you. Vertigo-associated disorders is a related topic.",Lightheadedness - dizzy; Loss of balance; Vertigo
Dizziness and vertigo - aftercare,"Dizziness is a word used by people to describe a variety of symptoms. You may feel lightheaded, woozy, unsteady, or like you might faint.Dizziness can also describe the feeling that you are spinning or moving, or you feel like the world is spinning around you. This is called vertigo.The feeling of spinning:Often starts suddenlyIs usually started by moving the headLasts a few seconds to minutesThis article is about self-care for vertigo.",Meniere disease - aftercare; Benign positional vertigo - aftercare
Do you have a drinking problem?,"Many people with alcohol problems cannot tell when their drinking is a problem or out of control. It is important to be aware of how much you are drinking. You should also know how your alcohol use may affect your life and those around you.One drink equals one 12-ounce (oz), or 360 milliliters (mL), can or bottle of beer, one 5-oz (150 mL) glass of wine, 1 wine cooler, 1 cocktail, or 1 1/2-oz (45 mL) shot of liquor. Think about:How often you have an alcoholic drinkHow many drinks you have when you do drinkHow any drinking you are doing affects your life or the lives of others",Alcohol use disorder - drinking problem; Alcohol abuse - drinking problem; Alcoholism - drinking problem; Alcohol dependence - drinking problem; Alcohol addiction - drinking problem
Do-not-resuscitate order,"A do-not-resuscitate order, or DNR order, is a medical order written by a health care provider. It instructs providers not to do CPR (cardiopulmonary resuscitation) if a patient's breathing stops or if the patient's heart stops beating.",No code; End-of-life; Do not resuscitate; Do not resuscitate order; DNR; DNR order; Advance care directive - DNR; Health care agent - DNR; Health care proxy - DNR; End-of-life - DNR; Living will - DNR
Doctor of medicine profession (MD),"MDs may be found within a wide range of medical practice settings, including private practices, group practices, hospitals, health maintenance organizations, teaching facilities, and public health organizations.",Physician
Doctor of osteopathic medicine,"A doctor of osteopathic medicine (DO) is a physician licensed to practice medicine, perform surgery, and prescribe medicine.",Osteopathic physician
Domestic violence,"Domestic violence is when a person uses abusive behavior to control a partner or other family member. The abuse can be physical, emotional, economic, or sexual. It can affect people of any age, sex, culture, or class. When domestic violence is aimed at a child, it is called child abuse. Domestic violence is a crime.",Intimate partner violence; Spousal abuse; Elder abuse; Child abuse; Sexual abuse - domestic violence
Donath-Landsteiner test,The Donath-Landsteiner test is a blood test to detect harmful antibodies related to a rare disorder called paroxysmal cold hemoglobinuria. These antibodies form and destroy red blood cells when the body is exposed to cold temperatures.,Anti-P antibody; Paroxysmal cold hemoglobinuria - Donath-Landsteiner
Donovanosis (granuloma inguinale),Donovanosis (granuloma inguinale) is a sexually transmitted disease (STD) that is rarely seen in the United States.,Granuloma inguinale; Sexually transmitted disease - donovanosis; STD - donovanosis; Sexually transmitted infection - donovanosis; STI - donovanosis
Doppler ultrasound exam of an arm or leg,This test uses ultrasound to look at the blood flow in the large arteries and veins in the arms or legs.,PVD - Doppler; PAD - Doppler; Blockage of leg arteries - Doppler; Intermittent claudication - Doppler; Arterial insufficiency of the legs - Doppler; Leg pain and cramping - Doppler; Calf pain - Doppler; Venous Doppler - DVT
Double aortic arch,"Double aortic arch is an abnormal formation of the aorta, the large artery that carries blood from the heart to the rest of the body. It is a congenital problem, which means that it is present at birth.",Aortic arch anomaly; Double arch; Congenital heart defect - double aortic arch; Birth defect heart - double aortic arch
Double inlet left ventricle,Double inlet left ventricle (DILV) is a heart defect that is present from birth (congenital). It affects the valves and chambers of the heart. Babies born with this condition have only one working pumping chamber (ventricle) in their heart.,DILV; Single ventricle; Common ventricle; Univentricular heart; Univentricular heart of the left ventricular type; Congenital heart defect - DILV; Cyanotic heart defect - DILV; Birth defect - DILV
Double outlet right ventricle,"Double outlet right ventricle (DORV) is a heart disease that is present from birth (congenital). The aorta connects to the right ventricle (RV, the chamber of the heart that pumps oxygen-poor blood to the lungs), instead of to the left ventricle (LV, the chamber that normally pumps oxygen-rich blood to the body).Both the pulmonary artery (which carries oxygen-poor blood to the lungs) and aorta (which carries oxygen-rich blood from the heart to the body) come from the same pumping chamber. No arteries are connected to the left ventricle (the chamber that normally pumps blood to the body).",DORV; Taussig-Bing anomaly; DORV with doubly-committed VSD; DORV with noncommitted VSD; DORV with subaortic VSD; Congenital heart defect - DORV; Cyanotic heart defect - DORV; Birth defect - DORV
Down syndrome,Down syndrome is a genetic condition in which a person has 47 chromosomes instead of the usual 46.,Trisomy 21; Down's syndrome
Doxepin overdose,"Doxepin is a type of medicine called a tricyclic antidepressant (TCA). It is prescribed to treat depression and anxiety. Doxepin overdose occurs when someone takes more than the normal or recommended amount of this medicine, either by accident or on purpose. Toxic level of a TCA can build up in the body if the TCA and other medicines interact. This interaction can affect how well the body can break down the TCA.This article is for information only. DO NOT use it to treat or manage an actual overdose. If you or someone you are with overdoses, call your local emergency number (such as 911), or your local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",Doxepin hydrochloride overdose
Drain cleaner poisoning,"Drain cleaners contain very dangerous chemicals that can be harmful to your health if you swallow them, breathe them in (inhale), or if they come in contact with your skin and eyes.This article discusses poisoning from swallowing or breathing in drain cleaner.This article is for information only. DO NOT use it to treat or manage an actual poison exposure. If you or someone you are with has an exposure, call the local emergency number (such as 911), or the local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",
Drain opener poisoning,"Drain opening agents are chemicals used to open clogged drains, often in homes. Drain opening agent poisoning can occur if a person accidentally drinks these chemicals, or if someone splashes the poison into the eyes when pouring it or breathes in the fumes of ""foaming"" drain openers.This article is for information only. DO NOT use it to treat or manage an actual poison exposure. If you or someone you are with has an exposure, call your local emergency number (such as 911), or your local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",Drain opening agents
Drainpipe cleaners,"Drainpipe cleaners are chemicals used to clean drainpipes. Drainpipe cleaner poisoning occurs when someone swallows or breathes in (inhales) a drainpipe cleaner.This article is for information only. DO NOT use it to treat or manage an actual poison exposure. If you or someone you are with has an exposure, call your local emergency number (such as 911), or your local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",
Drawing medicine out of a vial,Some medicines need to be given with an injection. Learn the proper technique to draw your medicine into a syringe.,Administering injections; Giving a needle; Giving insulin
Drinking water safely during cancer treatment,"During and right after your cancer treatment, your body may not be able to protect itself against infections. Germs can be in water, even when it looks clean.",Chemotherapy - drinking water safely; Immunosuppression - drinking water safely; Low white blood cell count - drinking water safely; Neutropenia - drinking water safely
Driving and older adults,"Certain physical and mental changes can make it harder for older adults to drive safely:Muscle and joint pain and stiffness. Conditions such as arthritis can make joints stiffer and harder to move. This can make it hard to grasp or turn the steering wheel. You also may have trouble turning your head far enough to check out your blind spot.Slower reflexes. Reaction time often slows with age. This makes it harder to react quickly to avoid other cars or obstacles.Vision problems. As your eyes age, it's common to have a harder time seeing clearly at night due to glare. Certain eye conditions can cause vision loss, which makes it harder to see other drivers and street signs.Hearing problems. Hearing loss makes it harder to hear horns and other street noise. You also may not hear sounds of trouble coming from your own car.Dementia. People with dementia may get lost more easily, even in familiar places. People who have dementia often do not know they have driving problems. If a loved one has dementia, family and friends should monitor their driving. People with severe dementia should not drive.Medicine side effects. Many older adults take more than one medicine. Certain medicine or medicine interactions can affect your ability to drive, by making you drowsy or slowing reaction times. Talk with your health care provider about any possible side effects of medicines you are taking.",Driving - seniors; Driving - older adults; Driving and seniors; Older drivers; Senior drivers
Drooling,Drooling is saliva flowing outside the mouth.,Salivation; Excessive saliva; Too much saliva; Sialorrhea
Drowsiness,Drowsiness refers to feeling more sleepy than normal during the day. People who are drowsy may fall asleep when they do not want to or at times which can lead to safety concerns.,Sleepiness - during the day; Hypersomnia; Somnolence
Drug allergies,Drug allergies are a group of symptoms caused by an allergic reaction to a drug (medicine).,Allergic reaction - drug (medication); Drug hypersensitivity; Medication hypersensitivity
Drug use first aid,"Drug use is the misuse or overuse of any medicine or drug, including alcohol. This article discusses first aid for drug overdose and withdrawal.",Overdose from drugs; Drug abuse first aid
Drug-induced diarrhea,"Drug-induced diarrhea is loose, watery stools that occur when you take certain medicines.",Diarrhea associated with medicines; Medicine-induced diarrhea
Drug-induced immune hemolytic anemia,"Drug-induced immune hemolytic anemia is a blood disorder that occurs when a medicine triggers the body's defense (immune) system to attack its own red blood cells. This causes red blood cells to break down earlier than normal, a process called hemolysis.",Immune hemolytic anemia secondary to drugs; Anemia - immune hemolytic - secondary to drugs
Drug-induced liver injury,Drug-induced liver injury (DILI) is an injury of the liver that may occur when you take certain medicines.Other types of liver injury include:Viral hepatitisAlcoholic hepatitisAutoimmune hepatitisIron overload Fatty liver,Toxic hepatitis; Drug-induced hepatitis; DILI
Drug-induced low blood sugar,Drug-induced low blood sugar is low blood glucose that results from taking medicine.,Hypoglycemia - drug-induced; Low blood glucose - drug-induced
Drug-induced lupus erythematosus,Drug-induced lupus erythematosus is an autoimmune disorder that is triggered by a reaction to a medicine.,Lupus - drug induced
Drug-induced pulmonary disease,Drug-induced pulmonary disease is lung disease brought on by a bad reaction to a medicine. Pulmonary means related to the lungs.,Interstitial lung disease - drug induced
Drug-induced thrombocytopenia,"Thrombocytopenia is any disorder in which there are not enough platelets. Platelets are elements in the blood that help the blood clot. A low platelet count makes bleeding more likely.When medicines or drugs cause a low platelet count, it is called drug-induced thrombocytopenia.",Drug-induced thrombocytopenia; Immune thrombocytopenia - drug
Drug-induced tremor,"Drug-induced tremor is involuntary shaking due to the use of medicines. Involuntary means you shake without trying to do so and can't stop when you try. The shaking occurs when you move or try to hold your arms, hands, or head in a certain position. It is not associated with other symptoms.",Tremor - drug-induced; Shaking - drug tremor
Drugs that may cause erection problems,"Many medicines and recreational drugs can affect a man's sexual arousal and sexual performance. What causes erection problems in one man may not affect another man. Talk to your health care provider if you think that a drug is having a negative effect on your sexual performance. Never stop taking any medicine without first talking to your provider. Some medicines may lead to life-threatening reactions if you do not take care when stopping or changing them.The following is a list of some medicines and drugs that may cause erectile dysfunction (ED) in men. There may be additional drugs other than those on this list that can cause erection difficulties.Antidepressants and other medicines for mental health conditions:Amitriptyline (Elavil)Amoxapine (Asendin)Buspirone (Buspar)Chlordiazepoxide (Librium)Chlorpromazine (Thorazine)Clomipramine (Anafranil)Clorazepate (Tranxene)Desipramine (Norpramin)Diazepam (Valium)Doxepin (Sinequan)Fluoxetine (Prozac)Fluphenazine (Prolixin)Imipramine (Tofranil)Isocarboxazid (Marplan)Lorazepam (Ativan)Meprobamate (Equanil)Mesoridazine (Serentil)Nortriptyline (Pamelor)Oxazepam (Serax)Phenelzine (Nardil)Phenytoin (Dilantin)Sertraline (Zoloft)Thioridazine (Mellaril)Thiothixene (Navane)Tranylcypromine (Parnate)Trifluoperazine (Stelazine) Antihistamine medicines (certain classes of antihistamines are also used to treat heartburn):Cimetidine (Tagamet)Dimenhydrinate (Dramamine)Diphenhydramine (Benadryl)Hydroxyzine (Vistaril)Meclizine (Antivert)Nizatidine (Axid)Promethazine (Phenergan)Ranitidine (Zantac) High blood pressure medicines and diuretics (water pills):Atenolol (Tenormin)BethanidineBumetanide (Bumex)Captopril (Capoten)Chlorothiazide (Diuril)Chlorthalidone (Hygroton)Clonidine (Catapres)Enalapril (Vasotec)Furosemide (Lasix)Guanabenz (Wytensin)Guanethidine (Ismelin)Guanfacine (Tenex)Haloperidol (Haldol)Hydralazine (Apresoline)Hydrochlorothiazide (Esidrix)Labetalol (Normodyne)Methyldopa (Aldomet)Metoprolol (Lopressor)Nifedipine (Adalat, Procardia)Phenoxybenzamine (Dibenzyline)Phentolamine (Regitine)Prazosin (Minipress)Propranolol (Inderal)Reserpine (Serpasil)Spironolactone (Aldactone)Triamterene (Maxzide)Verapamil (Calan) Thiazides are the most common cause of erectile dysfunction among the high blood pressure medicines. The next most common cause is beta blockers. Alpha blockers tend to be less likely to cause this problem.Parkinson disease medicines:Benztropine (Cogentin)Biperiden (Akineton)Bromocriptine (Parlodel)Levodopa (Sinemet)Procyclidine (Kemadrin)Trihexyphenidyl (Artane) Chemotherapy and hormonal medicines:Antiandrogens (Casodex, Flutamide, Nilutamide)Busulfan (Myleran)Cyclophosphamide (Cytoxan)KetoconazoleLHRH agonists (Lupron, Zoladex) LHRH antagonist (Firmagon)Other medicines:Aminocaproic acid (Amicar)AtropineClofibrate (Atromid-S)Cyclobenzaprine (Flexeril)CyproteroneDigoxin (Lanoxin)Disopyramide (Norpace)Dutasteride (Avodart)EstrogenFinasteride (Propecia, Proscar)Furazolidone (Furoxone)H2 blockers (Tagamet, Zantac, Pepcid)Indomethacin (Indocin)Lipid-lowering agentsLicoriceMetoclopramide (Reglan)Nonsteroidal anti-inflammatory drugs (NSAIDs, ibuprofen, etc.)Orphenadrine (Norflex)Prochlorperazine (Compazine)Pseudoephedrine (Sudafed)Sumatriptan (Imitrex) Opiate analgesics (painkillers):CodeineFentanyl (Innovar)Hydromorphone (Dilaudid)Meperidine (Demerol)MethadoneMorphineOxycodone (Oxycontin, Percodan) Recreational drugs:AlcoholAmphetaminesBarbituratesCocaineMarijuanaHeroin and other opioidsNicotine",
Dry cell battery poisoning,"Dry cell batteries are a common type of power source. Tiny dry cell batteries are sometimes called button batteries.This article discusses the harmful effects from swallowing a dry cell battery (including button batteries) or breathing in large amounts of dust or smoke from burning batteries.This article is for information only. DO NOT use it to treat or manage an actual poison exposure. If you or someone you are with has an exposure, call your local emergency number (such as 911), or your local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",Batteries - dry cell
Dry eye syndrome,You need tears to moisten the eyes and to wash away particles that have gotten into your eyes. A healthy tear film on the eye is necessary for good vision.Dry eyes develop when the eye is unable to maintain a healthy coating of tears.,Keratitis sicca; Xerophthalmia; Keratoconjunctivitis sicca
Dry hair,Dry hair is hair that does not have enough moisture and oil to maintain its normal sheen and texture.,Hair - dry
Dry mouth,"Dry mouth occurs when you don't make enough saliva. This causes your mouth to feel dry and uncomfortable. Dry mouth that is ongoing may be a sign of illness, and can lead to problems with your mouth and teeth.",Xerostomia; Dry mouth syndrome; Cotton mouth syndrome; Cotton mouth; Hyposalivation; Oral dryness
Dry mouth during cancer treatment,Some cancer treatments and medicines can cause dry mouth. Take good care of your mouth during your cancer treatment. Follow the measures outlined below.,Chemotherapy - dry mouth; Radiation therapy - dry mouth; Transplant - dry mouth; Transplantation - dry mouth
Dry skin,Dry skin occurs when your skin loses too much water and oil. Dry skin is common and can affect anyone at any age. The medical term for dry skin is xerosis.,Xerosis; Asteatotic eczema; Eczema craquele
Dry skin - self-care,"Dry skin occurs when your skin loses too much water and oil. Dry skin is common and can affect anyone at any age.Symptoms of dry skin include:Scaling, flaking, or peeling skinSkin that feels roughSkin tightness, especially after bathingItchingCracks in the skin that may bleed You can get dry skin anywhere on your body. But it commonly shows up on the hands, feet, arms, and lower legs.",Skin - dry; Winter itch; Xerosis; Xerosis cutis
Dry socket,"Dry socket is a complication of having a tooth pulled (tooth extraction). The socket is the hole in the bone where the tooth used to be. After a tooth is removed, a blood clot forms in the socket. This protects the bone and nerves underneath as it heals. Dry socket occurs when the clot is lost or does not form well. The bone and nerves are exposed to the air. This causes pain and delays healing.",Alveolar osteitis; Alveolitis; Septic socket
"DTaP (diphtheria, tetanus, and pertussis) vaccine - what you need to know",All content below is taken in its entirety from the Centers for Disease Control and Prevention (CDC) DTaP vaccine information statement (VIS) -- www.cdc.gov/vaccines/hcp/vis/vis-statements/dtap.html.,
Dubin-Johnson syndrome,"Dubin-Johnson syndrome (DJS) is a disorder passed down through families (inherited). In this condition, you may have mild jaundice throughout life.",
Duchenne muscular dystrophy,"Duchenne muscular dystrophy is an inherited disorder. It involves muscle weakness, which quickly gets worse.",Pseudohypertrophic muscular dystrophy; Muscular dystrophy - Duchenne type
Duodenal atresia,Duodenal atresia is a condition in which the first part of the small bowel (the duodenum) has not developed properly. It is not open and does not allow the passage of stomach contents.,
Duodenum,"The duodenum is the first part of the small intestine. It is located between the stomach and the middle part of the small intestine, or jejunum.After foods mix with stomach acid, they move into the duodenum, where they mix with bile from the gallbladder and digestive juices from the pancreas.The absorption of vitamins, minerals, and other nutrients begins in the duodenum.",
Duplex ultrasound,A duplex ultrasound is a test to see how blood moves through your arteries and veins.,Vascular ultrasound; Peripheral vascular ultrasound
Dupuytren contracture,Dupuytren contracture is a painless thickening and tightening (contracture) of tissue beneath the skin on the palm and fingers.,Palmar fascial fibromatosis - Dupuytren; Flexion contracture - Dupuytren; Needle aponeurotomy - Dupuytren; Needle release - Dupuytren; Percutaneous needle fasciotomy - Dupuytren; Fasciotomy- Dupuytren; Enzyme injection - Dupuytren; Collagenase injection - Dupuytren; Fasciotomy - enzymatic - Dupuytren; Dupuytren's contracture
Dye remover poisoning,"Dye remover is a chemical used to remove dye stains. Dye remover poisoning occurs when someone swallows this substance.This article is for information only. DO NOT use it to treat or manage an actual poison exposure. If you or someone you are with has an exposure, call your local emergency number (such as 911), or your local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",
Dysarthria,Dysarthria is a condition in which you have difficulty saying words because of problems with the muscles that help you talk.,Impairment of speech; Slurred speech; Speech disorders - dysarthria
Dyscrasias,"Dyscrasia is a nonspecific term that refers to a disease or disorder, especially of the blood. The latter is called a blood dyscrasia.Before modern medicine, it meant an imbalance of four body fluids: blood, bile, lymph, and phlegm.",
Dysgraphia,Dysgraphia is a childhood learning disorder that involves poor writing skills. It is also called disorder of written expression.,Written expression disorder; Specific learning disorder with impairment in written expression
Esophageal manometry,Esophageal manometry is a test to measure how well the esophagus is working.,Esophageal motility studies; Esophageal function studies
Esophageal perforation,An esophageal perforation is a hole in the esophagus. The esophagus is the tube food passes through as it goes from the mouth to the stomach.,Perforation of the esophagus; Boerhaave syndrome
Esophageal pH monitoring,Esophageal pH monitoring is a test that measures how often stomach acid enters the tube that leads from the mouth to the stomach (called the esophagus). The test also measures how long the acid stays there.,pH monitoring - esophageal; Esophageal acidity test
Esophageal spasm,"Esophageal spasms are abnormal contractions of the muscles in the esophagus, the tube that carries food from the mouth to the stomach. These spasms do not move food effectively to the stomach.",Diffuse esophageal spasm; Spasm of the esophagus; Distal esophageal spasm; Nutcracker esophagus
Esophageal stricture - benign,Benign esophageal stricture is a narrowing of the esophagus (the tube from the mouth to the stomach). It causes swallowing difficulties.Benign means that it is not caused by cancer of the esophagus.,
Esophagectomy - discharge,"You had surgery to remove part, or all, of your esophagus. This is the tube that carries food from the mouth to the stomach.The remaining part of your esophagus and your stomach were rejoined.Now that you're going home, follow your health care provider's instructions on how to care for yourself at home while you heal. Use the information below as a reminder.",Trans-hiatal esophagectomy - discharge; Trans-thoracic esophagectomy - discharge; Minimally invasive esophagectomy - discharge; En bloc esophagectomy - discharge; Removal of the esophagus - discharge
Esophagectomy - minimally invasive,"Minimally invasive esophagectomy is surgery to remove part or all of the esophagus. This is the tube that moves food from your throat to your stomach. After it is removed, the esophagus is rebuilt from part of your stomach or part of your large intestine.Most of the time, esophagectomy is done to treat cancer of the esophagus. The surgery may also be done to treat the esophagus if it is no longer working to move food into the stomach.",Minimally invasive esophagectomy; Robotic esophagectomy; Removal of the esophagus - minimally invasive; Achalasia - esophagectomy; Barrett esophagus - esophagectomy; Esophageal cancer - esophagectomy - laparoscopic; Cancer of the esophagus - esophagectomy - laparoscopic
Esophagectomy - open,"Open esophagectomy is surgery to remove part or all of the esophagus. This is the tube that moves food from your throat to your stomach. After it is removed, the esophagus is rebuilt from part of your stomach or part of your large intestine.Most of the time, esophagectomy is done to treat cancer of the esophagus or a severely damaged esophagus.","Trans-hiatal esophagectomy; Trans-thoracic esophagectomy; En bloc esophagectomy; Removal of the esophagus - open; Ivor-Lewis esophagectomy, Blunt esophagectomy; Esophageal cancer - esophagectomy - open; Cancer of the esophagus - esophagectomy - open"
Esophagitis,"Esophagitis is a condition in which the lining of the esophagus becomes swollen, inflamed, or irritated. The esophagus is the tube that leads from your mouth to the stomach. It is also called the food pipe.",Inflammation - esophagus; Erosive esophagitis; Ulcerative esophagitis; Eosinophilic esophagitis
ESR,"ESR stands for erythrocyte sedimentation rate. It is commonly called a ""sed rate.""It is a test that indirectly measures the level of certain proteins in the blood. This measurement correlates with the amount of inflammation in the body.",Erythrocyte sedimentation rate; Sed rate; Sedimentation rate
Essential thrombocythemia,Essential thrombocythemia (ET) is a condition in which the bone marrow produces too many platelets. Platelets are particles in the blood that aid in blood clotting.Watch this video about:Blood clotting,Primary thrombocythemia; Essential thrombocytosis
Essential tremor,Essential tremor (ET) is a type of involuntary shaking movement. It has no identified cause. Involuntary means you shake without trying to do so and are not able to stop the shaking at will.,Tremor - essential; Familial tremor; Tremor - familial; Benign essential tremor; Shaking - essential tremor
Estimated average glucose (eAG),Estimated average glucose (eAG) is an estimated average of your blood sugar (glucose) levels over a period of 2 to 3 months. It is based on your A1C (also called hemoglobin A1C or HBA1C) blood test results. Knowing your eAG helps you know your blood sugar levels over time. It shows how well you are controlling your diabetes.,eAG
Estradiol blood test,An estradiol test measures the amount of a hormone called estradiol in the blood. Estradiol is one of the main types of estrogens.,E2 test
Estrogen overdose,"Estrogen is a female hormone. Estrogen overdose occurs when someone takes more than the normal or recommended amount of a product containing the hormone. This can be by accident or on purpose.This article is for information only. DO NOT use it to treat or manage an actual overdose. If you or someone you are with overdoses, call your local emergency number (such as 911), or your local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",
Ethanol poisoning,"Ethanol poisoning is caused by drinking too much of the alcohol found in alcoholic beverages.This article is for information only. DO NOT use it to treat or manage an actual poison exposure. If you or someone you are with has an exposure, call the local emergency number (such as 911), or the local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",
